ensemble,model,time,score_mean,score_std,efficiency_mean,efficiency_std
0,Nearest Neighbors,17.10929775238037,14.872221911899848,0.16462211198848364,0.8692479450146173,0.009621792452912347
0,RBF SVM,1050.6698458194733,7.887608418399107,0.28701662034100894,0.007507218799305258,0.0002731748907451983
0,Polynomial SVM,293.7195384502411,3.666252395816397,0.18334485188779187,0.012482153605309085,0.0006242174179326932
0,Decision Tree,26.8155620098114,7.944532924803166,0.27447539389656767,0.2962657624664508,0.01023567560493945
0,Random Forest,1437.2219650745392,3.7253638681904264,0.20359818554533057,0.002592058818136151,0.00014166091981120764
0,Gradient Boosting,763.5592575073242,2.238745553316679,0.16272563785615224,0.002931986655004578,0.00021311461586803084
1,Nearest Neighbors,18.05582857131958,11.296837178317752,0.2758200712991636,0.62566152163529,0.015275957578445581
1,RBF SVM,1092.6524527072906,8.031634266993414,0.7043275519095928,0.007350584577093334,0.0006446034602901078
1,Polynomial SVM,321.1599304676056,3.5965020827596583,0.07447726626078507,0.011198476962936155,0.00023190086681220453
1,Decision Tree,28.990471601486206,11.332039437221349,1.1768191261541403,0.39088841302741717,0.040593307426354884
1,Random Forest,1436.7810237407684,6.149145665721828,0.35341253407928297,0.004279807127262901,0.00024597522394828586
1,Gradient Boosting,697.4616296291351,2.1919797793539924,0.211525166421685,0.0031427962288327533,0.00030327857108664226
2,Nearest Neighbors,11.00670337677002,10.1996697027037,0.38876148278888834,0.9266779846389257,0.03532042878609604
2,RBF SVM,365.7185823917389,6.9545573550495545,0.48355849952517427,0.019016144352217223,0.0013222147377986151
2,Polynomial SVM,76.1746780872345,3.152837873990652,0.07540177884894742,0.041389579229728454,0.0009898535936390574
2,Decision Tree,14.365574598312378,7.123915215479176,0.5211281086836538,0.4959018636341961,0.036276175736463356
2,Random Forest,472.9482729434967,4.624714426558705,0.375430953492275,0.009778478305409144,0.0007938097567323771
2,Gradient Boosting,468.05863976478577,2.4246547035442503,0.06924915151579433,0.005180237042014043,0.00014794973456871605
